availability_of_water,location,distant_from_school,room_type,apartment_type,price
yes,Rimi gata,15,single room,duplex,104721
yes,Rimi gata,15,single room,bungalow,146861
yes,Danbare,15,single room,duplex,130197
yes,Hawa dawai ke,10,single room,bungalow,118949
yes,Jabulo,15,single room,bungalow,111427
yes,Jabulo,5,single room,duplex,142378
yes,Danbare,10,single room,duplex,132814
yes,Jabulo,5,single room,duplex,130998
yes,Jabulo,5,single room,bungalow,106319
yes,Rimi gata,10,single room,bungalow,120135
yes,Danbare,10,single room,duplex,142292
yes,Jabulo,10,single room,duplex,109660
yes,Hawa dawai ke,5,single room,duplex,107778
yes,Danbare,10,single room,bungalow,127027
yes,Rimi gata,5,single room,duplex,113942
yes,Rimi gata,5,single room,duplex,103896
yes,Danbare,5,self contain,duplex,243525
yes,Hawa dawai ke,5,single room,bungalow,121456
yes,Jabulo,10,single room,duplex,103101
yes,Jabulo,5,single room,duplex,120020
yes,Jabulo,15,single room,bungalow,129226
yes,Danbare,15,self contain,bungalow,221775
yes,Jabulo,15,single room,bungalow,103953
yes,Rimi gata,15,single room,duplex,134753
yes,Hawa dawai ke,15,self contain,duplex,203781
yes,Hawa dawai ke,10,self contain,duplex,165379
yes,Rimi gata,5,self contain,bungalow,190620
yes,Hawa dawai ke,15,self contain,bungalow,175147
yes,Danbare,10,self contain,duplex,219071
yes,Rimi gata,15,single room,duplex,150000
yes,Rimi gata,5,single room,bungalow,127933
yes,Rimi gata,15,self contain,bungalow,129569
yes,Hawa dawai ke,10,self contain,bungalow,171375
yes,Danbare,10,self contain,duplex,125399
yes,Rimi gata,10,single room,duplex,121436
yes,Hawa dawai ke,10,single room,duplex,142618
yes,Danbare,15,single room,bungalow,121841
yes,Rimi gata,5,single room,bungalow,116647
yes,Rimi gata,5,single room,duplex,112879
yes,Rimi gata,15,single room,bungalow,118392
yes,Rimi gata,5,single room,duplex,104722
yes,Jabulo,15,self contain,duplex,213855
yes,Danbare,15,single room,bungalow,115862
yes,Jabulo,10,self contain,bungalow,126215
yes,Rimi gata,15,self contain,bungalow,135896
yes,Danbare,5,self contain,bungalow,154423
yes,Rimi gata,10,single room,bungalow,124425
yes,Rimi gata,10,self contain,bungalow,237839
yes,Jabulo,10,self contain,duplex,152600
yes,Jabulo,5,self contain,bungalow,145090
yes,Hawa dawai ke,10,self contain,bungalow,228552
yes,Jabulo,10,self contain,bungalow,170508
yes,Danbare,10,single room,duplex,138040
yes,Hawa dawai ke,10,self contain,bungalow,246725
yes,Danbare,15,single room,bungalow,136796
yes,Rimi gata,15,single room,duplex,101739
yes,Danbare,10,self contain,bungalow,113547
yes,Jabulo,5,single room,duplex,119886
yes,Danbare,15,self contain,bungalow,174885
yes,Danbare,15,single room,duplex,104385
yes,Jabulo,15,self contain,duplex,112861
yes,Rimi gata,15,self contain,duplex,236442
yes,Jabulo,10,self contain,duplex,205743
yes,Jabulo,10,single room,duplex,103734
yes,Jabulo,15,self contain,duplex,185444
yes,Danbare,10,self contain,duplex,164547
yes,Rimi gata,15,single room,bungalow,115285
yes,Danbare,5,single room,bungalow,107118
yes,Hawa dawai ke,15,self contain,duplex,223607
yes,Jabulo,5,self contain,bungalow,242497
yes,Danbare,5,self contain,bungalow,114828
yes,Jabulo,15,self contain,duplex,182919
yes,Danbare,10,self contain,bungalow,105477
yes,Jabulo,15,self contain,duplex,208367
yes,Jabulo,5,single room,duplex,106995
yes,Rimi gata,15,self contain,duplex,237135
yes,Jabulo,5,single room,duplex,128260
yes,Hawa dawai ke,10,single room,bungalow,142203
yes,Danbare,5,self contain,bungalow,139474
yes,Danbare,15,self contain,duplex,122244
yes,Danbare,5,single room,bungalow,101405
yes,Rimi gata,10,self contain,duplex,190301
yes,Danbare,5,single room,duplex,122255
yes,Danbare,5,self contain,bungalow,247939
yes,Danbare,5,single room,duplex,109800
yes,Hawa dawai ke,15,single room,bungalow,116653
yes,Rimi gata,10,self contain,bungalow,227762
yes,Danbare,10,self contain,bungalow,209799
yes,Rimi gata,10,single room,bungalow,138478
yes,Hawa dawai ke,15,self contain,bungalow,123162
yes,Jabulo,10,self contain,bungalow,209465
yes,Rimi gata,15,self contain,bungalow,158003
yes,Danbare,10,self contain,duplex,128592
yes,Danbare,5,self contain,bungalow,187444
yes,Jabulo,10,self contain,duplex,189714
yes,Jabulo,10,single room,duplex,114830
yes,Jabulo,15,single room,duplex,106846
yes,Danbare,15,self contain,duplex,162982
yes,Danbare,5,self contain,bungalow,191850
yes,Jabulo,15,self contain,duplex,111716
yes,Rimi gata,10,single room,duplex,138860
yes,Jabulo,15,self contain,bungalow,189444
yes,Jabulo,10,self contain,duplex,236034
yes,Jabulo,5,single room,bungalow,140571
yes,Hawa dawai ke,10,single room,duplex,136023
yes,Jabulo,5,single room,bungalow,147839
yes,Hawa dawai ke,15,single room,bungalow,138810
yes,Jabulo,5,single room,duplex,120537
yes,Hawa dawai ke,5,single room,duplex,102502
yes,Hawa dawai ke,15,self contain,bungalow,223497
yes,Jabulo,10,self contain,bungalow,139083
yes,Hawa dawai ke,15,self contain,duplex,172259
yes,Hawa dawai ke,5,single room,duplex,147891
yes,Danbare,10,self contain,bungalow,157382
yes,Hawa dawai ke,10,self contain,bungalow,130031
yes,Hawa dawai ke,15,self contain,duplex,184079
yes,Hawa dawai ke,15,single room,bungalow,146547
yes,Rimi gata,15,self contain,duplex,224041
yes,Rimi gata,5,single room,bungalow,107430
yes,Jabulo,10,self contain,duplex,245885
yes,Danbare,15,single room,duplex,147950
yes,Jabulo,10,single room,bungalow,104594
yes,Rimi gata,10,self contain,bungalow,134730
yes,Rimi gata,5,self contain,bungalow,144754
yes,Danbare,10,single room,bungalow,101578
yes,Hawa dawai ke,5,self contain,bungalow,140648
yes,Rimi gata,10,single room,bungalow,145198
yes,Jabulo,10,single room,duplex,145322
yes,Rimi gata,15,self contain,bungalow,211477
yes,Rimi gata,10,self contain,bungalow,146099
yes,Danbare,10,self contain,duplex,209822
yes,Danbare,15,single room,bungalow,138474
yes,Rimi gata,5,single room,bungalow,135819
yes,Hawa dawai ke,15,self contain,duplex,237596
yes,Hawa dawai ke,10,single room,bungalow,110287
yes,Danbare,10,single room,bungalow,146497
yes,Hawa dawai ke,10,single room,duplex,133267
yes,Hawa dawai ke,10,self contain,bungalow,163764
yes,Jabulo,10,single room,duplex,106566
yes,Jabulo,10,single room,bungalow,132015
yes,Hawa dawai ke,5,single room,bungalow,102159
yes,Hawa dawai ke,10,single room,bungalow,105103
yes,Rimi gata,5,single room,bungalow,138456
yes,Danbare,15,single room,bungalow,110186
yes,Rimi gata,5,self contain,bungalow,188136
yes,Rimi gata,10,self contain,duplex,178027
yes,Hawa dawai ke,15,single room,duplex,120111
yes,Jabulo,5,self contain,duplex,235117
yes,Jabulo,10,single room,duplex,148437
yes,Danbare,10,self contain,duplex,113144
yes,Rimi gata,15,single room,bungalow,135216
yes,Hawa dawai ke,10,self contain,bungalow,186821
yes,Jabulo,10,self contain,bungalow,137976
yes,Rimi gata,15,self contain,bungalow,228785
yes,Rimi gata,10,single room,duplex,144251
yes,Danbare,15,single room,bungalow,142726
yes,Rimi gata,15,self contain,duplex,180516
yes,Rimi gata,15,self contain,duplex,151305
yes,Jabulo,15,single room,bungalow,149464
yes,Jabulo,10,self contain,duplex,161628
yes,Hawa dawai ke,15,single room,bungalow,100816
yes,Danbare,5,single room,bungalow,128227
yes,Rimi gata,15,single room,bungalow,128871
yes,Rimi gata,5,self contain,bungalow,109714
yes,Danbare,5,self contain,duplex,163596
yes,Danbare,10,single room,bungalow,144865
yes,Rimi gata,5,self contain,bungalow,184849
yes,Hawa dawai ke,10,single room,duplex,149399
yes,Hawa dawai ke,15,self contain,duplex,223183
yes,Rimi gata,10,single room,duplex,118744
yes,Hawa dawai ke,15,self contain,duplex,156960
yes,Rimi gata,10,single room,duplex,124353
yes,Hawa dawai ke,15,single room,bungalow,100526
yes,Jabulo,5,self contain,duplex,243063
yes,Jabulo,15,single room,duplex,141427
yes,Hawa dawai ke,15,single room,duplex,136832
yes,Danbare,15,single room,bungalow,125598
yes,Jabulo,5,self contain,bungalow,205015
yes,Rimi gata,10,single room,duplex,106409
yes,Hawa dawai ke,10,single room,duplex,122008
yes,Rimi gata,5,single room,bungalow,135423
yes,Hawa dawai ke,15,self contain,duplex,245697
yes,Rimi gata,15,self contain,bungalow,242246
yes,Jabulo,5,self contain,bungalow,120567
yes,Rimi gata,5,single room,bungalow,148380
yes,Rimi gata,10,self contain,duplex,123054
yes,Rimi gata,10,single room,duplex,127179
yes,Rimi gata,5,self contain,duplex,227363
yes,Rimi gata,10,self contain,duplex,145758
yes,Danbare,15,self contain,bungalow,167343
yes,Jabulo,10,self contain,duplex,120661
yes,Rimi gata,5,self contain,duplex,103640
yes,Hawa dawai ke,15,self contain,duplex,227742
yes,Rimi gata,15,single room,duplex,145121
yes,Danbare,10,self contain,bungalow,202486
yes,Danbare,10,self contain,bungalow,199797
yes,Rimi gata,15,single room,duplex,112066
yes,Jabulo,10,self contain,bungalow,149970
yes,Danbare,10,self contain,bungalow,207704
yes,Hawa dawai ke,10,single room,duplex,144841
yes,Hawa dawai ke,15,single room,duplex,118867
yes,Hawa dawai ke,10,self contain,bungalow,199637
yes,Jabulo,10,single room,bungalow,104696
yes,Jabulo,15,self contain,duplex,127857
yes,Danbare,10,single room,duplex,131558
yes,Danbare,10,single room,bungalow,138091
yes,Danbare,15,single room,duplex,117089
yes,Jabulo,5,single room,duplex,104452
yes,Rimi gata,5,self contain,bungalow,126383
yes,Rimi gata,10,self contain,duplex,141124
yes,Jabulo,10,self contain,bungalow,209923
yes,Jabulo,10,single room,bungalow,148059
yes,Jabulo,15,self contain,duplex,112364
yes,Rimi gata,15,single room,bungalow,106356
yes,Jabulo,15,self contain,bungalow,200763
yes,Jabulo,5,single room,bungalow,117674
yes,Hawa dawai ke,10,single room,duplex,100051
yes,Danbare,15,single room,duplex,137238
yes,Danbare,10,single room,bungalow,108613
yes,Danbare,5,single room,bungalow,106231
yes,Rimi gata,5,self contain,bungalow,162380
yes,Hawa dawai ke,15,single room,duplex,134432
yes,Hawa dawai ke,5,self contain,duplex,106635
yes,Hawa dawai ke,15,self contain,duplex,237361
yes,Danbare,10,self contain,bungalow,113867
yes,Danbare,15,self contain,bungalow,143279
yes,Hawa dawai ke,15,single room,duplex,112324
yes,Jabulo,10,self contain,bungalow,135844
yes,Jabulo,5,self contain,bungalow,224180
yes,Rimi gata,15,single room,duplex,115443
yes,Danbare,15,self contain,duplex,224134
yes,Jabulo,5,self contain,duplex,219634
yes,Rimi gata,15,self contain,bungalow,191155
yes,Danbare,5,self contain,bungalow,152773
yes,Danbare,5,single room,duplex,132695
yes,Hawa dawai ke,5,self contain,duplex,231690
yes,Danbare,5,single room,bungalow,135751
yes,Rimi gata,5,self contain,bungalow,242823
yes,Jabulo,10,single room,duplex,149953
yes,Jabulo,10,self contain,bungalow,133230
yes,Danbare,15,self contain,duplex,209826
yes,Rimi gata,5,single room,bungalow,116972
yes,Danbare,15,single room,duplex,148868
yes,Danbare,15,single room,bungalow,114365
yes,Hawa dawai ke,10,single room,duplex,138678
yes,Hawa dawai ke,5,self contain,bungalow,162319
yes,Jabulo,15,self contain,bungalow,212888
yes,Rimi gata,15,single room,bungalow,138317
yes,Rimi gata,5,single room,bungalow,137978
yes,Rimi gata,15,self contain,bungalow,147641
yes,Jabulo,15,single room,bungalow,108816
yes,Rimi gata,5,self contain,duplex,130864
yes,Danbare,15,self contain,duplex,195764
yes,Jabulo,10,self contain,duplex,111430
yes,Danbare,5,single room,bungalow,146855
yes,Rimi gata,15,single room,duplex,101001
yes,Danbare,15,single room,bungalow,141561
yes,Rimi gata,15,self contain,duplex,173577
yes,Hawa dawai ke,15,single room,bungalow,107683
yes,Rimi gata,5,single room,bungalow,130118
yes,Danbare,10,single room,duplex,119050
yes,Danbare,15,self contain,bungalow,181944
yes,Hawa dawai ke,10,single room,bungalow,135666
yes,Danbare,10,single room,bungalow,100730
yes,Danbare,5,single room,bungalow,127908
yes,Jabulo,5,self contain,bungalow,163956
yes,Jabulo,10,self contain,duplex,229159
yes,Hawa dawai ke,10,single room,duplex,133453
yes,Danbare,15,single room,duplex,133989
yes,Jabulo,10,self contain,duplex,205554
yes,Rimi gata,5,self contain,duplex,222161
yes,Jabulo,5,self contain,bungalow,171487
yes,Danbare,5,single room,duplex,139226
yes,Rimi gata,10,single room,bungalow,104669
yes,Jabulo,15,self contain,bungalow,119235
yes,Jabulo,5,single room,bungalow,129008
yes,Hawa dawai ke,5,single room,duplex,131253
yes,Jabulo,5,single room,duplex,131052
yes,Danbare,15,single room,duplex,104078
yes,Danbare,10,single room,bungalow,148349
yes,Hawa dawai ke,10,single room,bungalow,147099
yes,Hawa dawai ke,10,single room,bungalow,149664
yes,Jabulo,15,self contain,duplex,230309
yes,Hawa dawai ke,5,self contain,duplex,189078
yes,Rimi gata,5,self contain,duplex,152052
yes,Hawa dawai ke,5,single room,duplex,147689
yes,Jabulo,5,single room,duplex,132090
yes,Hawa dawai ke,5,single room,duplex,133021
yes,Danbare,10,self contain,duplex,195194
yes,Hawa dawai ke,10,self contain,duplex,121107
yes,Rimi gata,15,single room,duplex,130691
yes,Rimi gata,5,single room,bungalow,121575
yes,Rimi gata,5,self contain,duplex,137383
yes,Hawa dawai ke,5,single room,bungalow,146537
yes,Hawa dawai ke,5,self contain,duplex,203982
yes,Danbare,10,self contain,duplex,191485
yes,Danbare,15,self contain,duplex,158381
yes,Hawa dawai ke,10,self contain,bungalow,205415
yes,Danbare,5,single room,bungalow,104755
yes,Rimi gata,15,single room,bungalow,136427
yes,Jabulo,5,self contain,bungalow,211817
yes,Rimi gata,15,self contain,bungalow,169576
yes,Jabulo,15,single room,duplex,142250
yes,Danbare,5,self contain,duplex,249069
yes,Danbare,15,self contain,bungalow,168524
yes,Hawa dawai ke,5,self contain,duplex,112978
yes,Hawa dawai ke,5,self contain,duplex,131867
yes,Danbare,10,self contain,bungalow,147092
yes,Jabulo,5,self contain,duplex,225863
yes,Jabulo,15,single room,bungalow,129068
yes,Jabulo,10,single room,duplex,118018
yes,Rimi gata,15,self contain,duplex,154310
yes,Danbare,15,single room,duplex,102894
yes,Jabulo,15,single room,bungalow,117740
yes,Danbare,5,self contain,duplex,208158
yes,Danbare,5,self contain,duplex,152720
yes,Hawa dawai ke,15,single room,bungalow,131846
yes,Hawa dawai ke,10,single room,bungalow,106600
yes,Hawa dawai ke,5,self contain,duplex,244623
yes,Hawa dawai ke,15,self contain,duplex,204608
yes,Rimi gata,15,self contain,duplex,207426
yes,Rimi gata,10,self contain,duplex,195074
yes,Danbare,5,single room,duplex,129001
yes,Hawa dawai ke,15,self contain,bungalow,231549
yes,Hawa dawai ke,5,self contain,bungalow,201910
yes,Rimi gata,10,self contain,duplex,225034
yes,Jabulo,10,self contain,duplex,171507
yes,Rimi gata,10,self contain,bungalow,120666
yes,Rimi gata,5,single room,bungalow,101772
yes,Jabulo,15,single room,bungalow,148329
yes,Rimi gata,5,single room,bungalow,109273
yes,Hawa dawai ke,5,self contain,bungalow,130706
yes,Jabulo,10,single room,bungalow,128535
yes,Danbare,15,single room,duplex,126922
yes,Rimi gata,15,single room,bungalow,123346
yes,Hawa dawai ke,15,self contain,duplex,203622
yes,Jabulo,10,self contain,bungalow,241054
yes,Rimi gata,5,self contain,duplex,108264
yes,Hawa dawai ke,5,single room,bungalow,124049
yes,Danbare,10,single room,duplex,124556
yes,Rimi gata,15,self contain,duplex,119405
yes,Rimi gata,5,self contain,bungalow,193957
yes,Rimi gata,10,self contain,duplex,196313
yes,Jabulo,5,self contain,duplex,114516
yes,Hawa dawai ke,5,single room,bungalow,125598
yes,Jabulo,5,self contain,duplex,234563
yes,Jabulo,5,self contain,duplex,183315
yes,Jabulo,15,self contain,duplex,169206
yes,Danbare,5,self contain,bungalow,132601
yes,Rimi gata,15,self contain,bungalow,138630
yes,Jabulo,5,self contain,bungalow,202686
yes,Danbare,10,self contain,duplex,161106
yes,Danbare,10,single room,bungalow,148504
yes,Danbare,15,single room,bungalow,135258
yes,Jabulo,15,self contain,bungalow,204861
yes,Jabulo,5,self contain,duplex,112106
yes,Jabulo,10,single room,duplex,134781
yes,Jabulo,5,single room,duplex,141003
yes,Hawa dawai ke,10,single room,duplex,138385
yes,Jabulo,15,single room,duplex,148611
yes,Jabulo,15,self contain,duplex,103617
yes,Rimi gata,5,single room,bungalow,101030
yes,Hawa dawai ke,15,single room,duplex,129181
yes,Hawa dawai ke,10,single room,duplex,139617
yes,Hawa dawai ke,10,single room,bungalow,124491
yes,Danbare,15,self contain,bungalow,118264
yes,Jabulo,15,self contain,duplex,221023
yes,Rimi gata,5,self contain,bungalow,155270
yes,Rimi gata,5,self contain,bungalow,193392
yes,Jabulo,10,single room,duplex,103054
yes,Hawa dawai ke,5,single room,bungalow,139086
yes,Rimi gata,15,self contain,duplex,247305
yes,Danbare,5,self contain,bungalow,180194
yes,Rimi gata,10,self contain,bungalow,222543
yes,Jabulo,10,self contain,bungalow,106444
yes,Danbare,15,self contain,bungalow,178057
yes,Rimi gata,15,self contain,duplex,202560
yes,Jabulo,5,single room,bungalow,119104
yes,Danbare,10,single room,bungalow,109661
yes,Danbare,15,self contain,duplex,180849
yes,Jabulo,15,single room,duplex,107111
yes,Jabulo,10,single room,duplex,147878
yes,Danbare,10,self contain,bungalow,193490
yes,Hawa dawai ke,5,single room,duplex,133319
yes,Hawa dawai ke,15,self contain,bungalow,169340
yes,Rimi gata,10,self contain,bungalow,214695
yes,Danbare,15,single room,bungalow,104377
yes,Hawa dawai ke,15,self contain,duplex,117771
yes,Danbare,15,self contain,bungalow,112234
yes,Hawa dawai ke,10,single room,duplex,116094
yes,Danbare,10,single room,duplex,128996
yes,Danbare,10,single room,bungalow,141752
yes,Jabulo,10,single room,bungalow,122661
yes,Jabulo,10,self contain,bungalow,107696
yes,Danbare,5,self contain,duplex,244145
yes,Hawa dawai ke,5,single room,bungalow,143473
yes,Rimi gata,15,self contain,bungalow,161730
yes,Jabulo,10,single room,duplex,129534
yes,Rimi gata,5,single room,bungalow,122930
yes,Danbare,5,single room,duplex,118480
yes,Danbare,10,single room,duplex,117293
yes,Danbare,5,single room,bungalow,113001
yes,Hawa dawai ke,15,single room,duplex,131159
yes,Danbare,10,single room,bungalow,111110
yes,Hawa dawai ke,15,self contain,bungalow,157251
yes,Jabulo,10,single room,bungalow,146717
yes,Hawa dawai ke,15,single room,duplex,136850
yes,Danbare,10,single room,bungalow,140782
yes,Rimi gata,5,single room,bungalow,105953
yes,Jabulo,10,self contain,duplex,234097
yes,Danbare,10,self contain,bungalow,154179
yes,Rimi gata,10,single room,duplex,117850
yes,Danbare,5,single room,bungalow,120144
yes,Danbare,15,self contain,duplex,148550
yes,Jabulo,5,self contain,bungalow,234844
yes,Danbare,10,single room,bungalow,142436
yes,Jabulo,10,self contain,duplex,150376
yes,Jabulo,10,self contain,duplex,189674
yes,Hawa dawai ke,5,single room,bungalow,130264
yes,Danbare,15,self contain,duplex,218163
yes,Jabulo,10,single room,bungalow,113618
yes,Danbare,10,self contain,bungalow,172116
yes,Danbare,5,single room,duplex,135198
yes,Rimi gata,10,self contain,duplex,248177
yes,Hawa dawai ke,15,self contain,duplex,130149
yes,Danbare,10,self contain,duplex,128724
yes,Rimi gata,10,single room,duplex,102870
yes,Danbare,15,single room,bungalow,146160
yes,Danbare,5,single room,duplex,146990
yes,Jabulo,15,self contain,duplex,171717
yes,Hawa dawai ke,10,self contain,bungalow,138166
yes,Hawa dawai ke,15,single room,bungalow,136654
yes,Danbare,15,single room,duplex,138831
yes,Danbare,10,single room,bungalow,141454
yes,Jabulo,5,single room,bungalow,144538
yes,Danbare,5,single room,duplex,112811
yes,Hawa dawai ke,5,self contain,duplex,233719
yes,Rimi gata,5,self contain,bungalow,240580
yes,Rimi gata,10,single room,bungalow,120471
yes,Jabulo,10,self contain,bungalow,127293
yes,Jabulo,15,single room,bungalow,101303
yes,Danbare,10,single room,duplex,130304
yes,Danbare,10,single room,bungalow,104485
yes,Hawa dawai ke,5,single room,duplex,129650
yes,Hawa dawai ke,10,self contain,bungalow,174596
yes,Hawa dawai ke,10,self contain,bungalow,166504
yes,Danbare,10,single room,bungalow,139113
yes,Rimi gata,10,self contain,duplex,235146
yes,Rimi gata,15,single room,duplex,113455
yes,Hawa dawai ke,5,single room,duplex,149739
yes,Danbare,5,single room,bungalow,138390
yes,Hawa dawai ke,10,single room,bungalow,117644
yes,Danbare,15,self contain,duplex,181958
yes,Danbare,5,self contain,bungalow,200332
yes,Rimi gata,10,self contain,duplex,108250
yes,Hawa dawai ke,5,self contain,duplex,245588
yes,Jabulo,15,self contain,bungalow,145283
yes,Jabulo,5,self contain,duplex,152038
yes,Hawa dawai ke,5,self contain,duplex,218133
yes,Danbare,5,self contain,bungalow,222497
yes,Hawa dawai ke,5,single room,duplex,100373
yes,Hawa dawai ke,15,single room,bungalow,129851
yes,Jabulo,10,single room,bungalow,133231
yes,Rimi gata,10,single room,bungalow,133137
yes,Danbare,5,single room,duplex,117717
yes,Danbare,10,self contain,duplex,100547
yes,Rimi gata,15,single room,duplex,101636
yes,Danbare,10,single room,bungalow,100904
yes,Hawa dawai ke,15,self contain,duplex,131321
yes,Hawa dawai ke,10,self contain,bungalow,224781
yes,Jabulo,15,self contain,bungalow,103713
yes,Rimi gata,10,self contain,bungalow,233002
yes,Jabulo,5,single room,bungalow,118678
yes,Hawa dawai ke,5,self contain,bungalow,115023
yes,Hawa dawai ke,10,single room,duplex,129900
yes,Rimi gata,15,single room,bungalow,114253
yes,Hawa dawai ke,10,single room,bungalow,132690
yes,Rimi gata,10,single room,bungalow,128171
yes,Hawa dawai ke,15,self contain,duplex,215647
yes,Jabulo,15,self contain,duplex,190077
yes,Rimi gata,5,self contain,bungalow,108287
yes,Danbare,5,single room,bungalow,131978
yes,Jabulo,5,self contain,bungalow,207989
yes,Danbare,10,single room,bungalow,144942
yes,Rimi gata,5,self contain,bungalow,133103
yes,Danbare,5,single room,bungalow,105424
yes,Rimi gata,15,self contain,duplex,187997
yes,Danbare,10,single room,bungalow,135826
yes,Hawa dawai ke,10,single room,bungalow,127645
yes,Danbare,15,single room,bungalow,103316
yes,Jabulo,5,single room,duplex,148273
yes,Danbare,10,single room,duplex,137522
yes,Danbare,15,single room,duplex,136732
yes,Hawa dawai ke,10,single room,duplex,101129
yes,Rimi gata,5,single room,bungalow,146159
yes,Hawa dawai ke,5,self contain,bungalow,221605
yes,Rimi gata,5,single room,bungalow,121240
yes,Rimi gata,5,single room,duplex,149017
yes,Hawa dawai ke,10,single room,duplex,146639
yes,Rimi gata,5,self contain,duplex,238492
yes,Jabulo,10,self contain,duplex,233160
yes,Rimi gata,10,single room,bungalow,102912
yes,Danbare,5,self contain,bungalow,150396
yes,Danbare,10,single room,bungalow,119200
yes,Jabulo,15,self contain,bungalow,185596
yes,Danbare,5,single room,bungalow,141151
yes,Jabulo,5,self contain,bungalow,194175
yes,Jabulo,15,self contain,bungalow,100552
yes,Danbare,5,self contain,duplex,195506
yes,Danbare,10,single room,duplex,136107
yes,Danbare,15,self contain,duplex,198414
yes,Rimi gata,15,self contain,bungalow,106411
yes,Hawa dawai ke,5,single room,bungalow,131585
yes,Danbare,15,self contain,duplex,135362
yes,Hawa dawai ke,5,single room,duplex,137105
yes,Danbare,5,single room,bungalow,108122
yes,Jabulo,15,single room,duplex,104327
yes,Danbare,5,single room,bungalow,110904
yes,Hawa dawai ke,15,single room,duplex,140233
yes,Danbare,10,single room,bungalow,130044
yes,Danbare,15,single room,bungalow,132632
yes,Jabulo,15,single room,bungalow,123503
yes,Rimi gata,10,self contain,bungalow,194293
yes,Rimi gata,5,single room,bungalow,110157
yes,Hawa dawai ke,10,single room,bungalow,110877
yes,Hawa dawai ke,10,single room,bungalow,145565
yes,Rimi gata,15,self contain,duplex,104604
yes,Jabulo,5,single room,bungalow,128356
yes,Rimi gata,15,single room,bungalow,147679
yes,Rimi gata,15,self contain,duplex,103835
yes,Danbare,5,single room,bungalow,101989
yes,Danbare,10,single room,bungalow,139911
yes,Rimi gata,10,self contain,bungalow,155429
yes,Jabulo,10,self contain,duplex,153964
yes,Hawa dawai ke,5,self contain,duplex,166066
yes,Jabulo,15,self contain,duplex,239176
yes,Jabulo,5,self contain,bungalow,149680
yes,Jabulo,10,self contain,duplex,142400
yes,Danbare,5,self contain,duplex,200271
yes,Hawa dawai ke,15,self contain,bungalow,112624
yes,Rimi gata,15,self contain,duplex,219855
yes,Jabulo,5,single room,duplex,114749
yes,Jabulo,10,single room,duplex,144398
yes,Jabulo,5,single room,bungalow,110104
yes,Jabulo,15,single room,duplex,123992
yes,Rimi gata,10,self contain,duplex,237317
yes,Danbare,15,single room,duplex,100568
yes,Rimi gata,15,self contain,bungalow,242710
yes,Hawa dawai ke,10,self contain,duplex,103453
yes,Rimi gata,5,self contain,bungalow,195622
yes,Rimi gata,15,self contain,duplex,208520
yes,Danbare,10,single room,bungalow,123333
yes,Hawa dawai ke,15,single room,bungalow,102549
yes,Hawa dawai ke,15,single room,duplex,144703
yes,Danbare,15,single room,bungalow,118216
yes,Hawa dawai ke,15,self contain,bungalow,108453
yes,Hawa dawai ke,15,self contain,bungalow,105921
yes,Rimi gata,15,self contain,bungalow,132612
yes,Rimi gata,15,single room,bungalow,136469
yes,Hawa dawai ke,10,single room,duplex,102574
yes,Rimi gata,15,self contain,bungalow,159651
yes,Rimi gata,15,self contain,bungalow,137822
yes,Rimi gata,10,single room,bungalow,101095
yes,Hawa dawai ke,5,single room,bungalow,129613
yes,Rimi gata,10,self contain,bungalow,118331
yes,Danbare,15,self contain,duplex,213872
yes,Danbare,5,self contain,duplex,182248
yes,Rimi gata,10,single room,bungalow,102440
yes,Danbare,5,single room,duplex,131899
yes,Hawa dawai ke,5,self contain,bungalow,189769
yes,Rimi gata,5,self contain,bungalow,218567
yes,Danbare,10,single room,duplex,102389
yes,Hawa dawai ke,15,single room,duplex,105954
yes,Danbare,5,single room,bungalow,102123
yes,Jabulo,10,self contain,bungalow,138977
yes,Rimi gata,10,self contain,bungalow,188617
yes,Hawa dawai ke,5,self contain,duplex,161394
yes,Hawa dawai ke,10,self contain,duplex,172588
yes,Rimi gata,5,single room,bungalow,104314
yes,Rimi gata,10,single room,bungalow,125721
yes,Danbare,10,self contain,duplex,164046
yes,Danbare,15,single room,bungalow,127859
yes,Danbare,10,self contain,bungalow,236710
yes,Danbare,15,single room,bungalow,132604
yes,Hawa dawai ke,10,single room,duplex,140222
yes,Hawa dawai ke,10,single room,duplex,144483
yes,Jabulo,15,self contain,bungalow,189262
yes,Jabulo,5,single room,duplex,124028
yes,Danbare,5,self contain,duplex,207545
yes,Hawa dawai ke,15,single room,duplex,128557
yes,Hawa dawai ke,5,self contain,duplex,235642
yes,Hawa dawai ke,10,self contain,duplex,149394
yes,Hawa dawai ke,15,self contain,duplex,138057
yes,Jabulo,15,single room,duplex,111462
yes,Hawa dawai ke,15,single room,bungalow,103092
yes,Jabulo,5,self contain,bungalow,211749
yes,Hawa dawai ke,15,self contain,bungalow,216262
yes,Rimi gata,15,single room,duplex,107165
yes,Danbare,5,self contain,bungalow,207911
yes,Hawa dawai ke,15,single room,duplex,113173
yes,Rimi gata,10,single room,bungalow,124798
yes,Rimi gata,15,single room,bungalow,111779
yes,Rimi gata,15,self contain,duplex,223305
yes,Danbare,10,single room,bungalow,116950
yes,Jabulo,15,single room,bungalow,102687
yes,Jabulo,10,self contain,bungalow,176375
yes,Hawa dawai ke,10,single room,duplex,113219
yes,Rimi gata,15,self contain,duplex,153374
yes,Jabulo,5,self contain,duplex,190326
